Region;Year;Industry;Professional position;Total ;Women;Men;Gender Pay Gap
Lake Geneva;2016;Information and communication;Lowest management;8 429  ;7 501  ;8 813  ;1 312
Lake Geneva;2016;Financial and insurance services;Lowest management;9 475  ;8 834  ;9 999  ;1 165
Lake Geneva;2016;Professional, scientific and technical services;Lowest management;7 799  ;7 592  ;8 035  ; 443
Lake Geneva;2016;Other business services;Lowest management;6 204  ;6 250  ;6 204  ;- 46
Lake Geneva;2016;Health and social work;Lowest management;6 611  ;6 429  ;6 844  ; 415
Lake Geneva;2016;Arts, entertainment and recreation;Lowest management;7 357 ;6 985 ;7 736 ;#WERT!
Lake Geneva;2016;Other service activities Other service activities;Lowest management;6 808  ;6 681  ;7 100 ;#WERT!
Lake Geneva;2016;TOTAL;No management;5 583  ;5 301  ;5 740  ; 439
Lake Geneva;2016;SECTOR 2 PRODUCTION;No management;6 086  ;5 676  ;6 170  ; 494
Lake Geneva;2016;Mining and quarrying;No management;5 989  ;*;5 955  ;#WERT!
Lake Geneva;2016;Manufacturing/production of Goods;No management;6 233  ;5 628  ;6 450  ; 822
Lake Geneva;2016;"Water supply; sewage and waste disposal";No management;5 310  ;5 494  ;5 295  ;- 199
Lake Geneva;2016;Construction ;No management;5 947  ;5 795  ;5 957  ; 162
Lake Geneva;2016;SECTOR 3 SERVICES ;No management;5 301  ;5 230  ;5 362  ; 132
Lake Geneva;2016;"Wholesale and retail trade; repair of motor vehicles and motorcycles";No management;4 893  ;4 613  ;5 158  ; 545
Lake Geneva;2016;Transportation and storage;No management;5 340  ;5 370  ;5 329  ;- 41
Lake Geneva;2016;Hotels and restaurants;No management;4 046  ;3 945  ;4 147  ; 202
Lake Geneva;2016;Information and communication;No management;7 218  ;6 488  ;7 530  ;1 042
Lake Geneva;2016;Financial and insurance services;No management;7 133  ;6 659  ;7 814  ;1 155
Lake Geneva;2016;Professional, scientific and technical services;No management;6 506  ;6 438  ;6 665  ; 227
Lake Geneva;2016;Other business services;No management;5 041  ;4 723  ;5 129  ; 406
Lake Geneva;2016;Health and social work;No management;5 792  ;5 675  ;6 239  ; 564
Lake Geneva;2016;Arts, entertainment and recreation;No management;5 250  ;5 321 ;5 250  ;#WERT!
Lake Geneva;2016;Other service activities Other service activities;No management;4 675  ;4 256  ;5 952  ;1 696
Lake Geneva;2014;TOTAL;Total ;6 118  ;5 663  ;6 366  ; 703
Lake Geneva;2014;SECTOR 2 PRODUCTION;Total ;6 362  ;5 870  ;6 455  ; 585
Lake Geneva;2014;Mining and quarrying;Total ;5 948  ;*  ;6 073  ;#WERT!
Lake Geneva;2014;Manufacturing/production of Goods;Total ;6 542  ;5 781  ;6 806  ;1 025
Lake Geneva;2014;"Water supply; sewage and waste disposal";Total ;5 331  ;5 308 ;5 331  ;#WERT!
Lake Geneva;2014;Construction ;Total ;6 067  ;5 796  ;6 086  ; 290
Lake Geneva;2014;SECTOR 3 SERVICES ;Total ;5 958  ;5 623  ;6 270  ; 647
Lake Geneva;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Total ;5 374  ;4 820  ;5 733  ; 913
Lake Geneva;2014;Transportation and storage;Total ;5 674  ;5 410  ;5 736  ; 326
Lake Geneva;2014;Hotels and restaurants;Total ;4 200  ;3 932  ;4 428  ; 496
Lake Geneva;2014;Information and communication;Total ;8 500  ;7 190  ;8 889  ;1 699
Lake Geneva;2014;Financial and insurance services;Total ;10 141  ;8 452  ;11 647  ;3 195
Lake Geneva;2014;Professional, scientific and technical services;Total ;7 908  ;7 086  ;8 667  ;1 581
Lake Geneva;2014;Other business services;Total ;4 942  ;4 640  ;5 064  ; 424
Lake Geneva;2014;Health and social work;Total ;5 973  ;5 785  ;6 706  ; 921
Lake Geneva;2014;Arts, entertainment and recreation;Total ;6 240 ;6 638 ;6 000 ;#WERT!
Lake Geneva;2014;Other service activities Other service activities;Total ;6 325  ;5 556  ;7 627  ;2 071
Lake Geneva;2014;TOTAL;Top, upper,  middle management;10 344  ;9 143  ;10 923  ;1 780
Lake Geneva;2014;SECTOR 2 PRODUCTION;Top, upper,  middle management;10 000  ;9 924  ;10 010  ; 86
Lake Geneva;2014;Mining and quarrying;Top, upper,  middle management;*  ;*  ;*  ;#WERT!
Lake Geneva;2014;Manufacturing/production of Goods;Top, upper,  middle management;10 738  ;10 821  ;10 718  ;- 103
Lake Geneva;2014;"Water supply; sewage and waste disposal";Top, upper,  middle management;*  ;*  ;*  ;#WERT!
Lake Geneva;2014;Construction ;Top, upper,  middle management;8 259  ;*  ;8 404  ;#WERT!
Lake Geneva;2014;SECTOR 3 SERVICES ;Top, upper,  middle management;10 449  ;9 048  ;11 364  ;2 316
Lake Geneva;2014;"Wholesale and retail trade; repair of motor vehicles and motorcycles";Top, upper,  middle management;8 799  ;8 000 ;9 046  ;#WERT!
Lake Geneva;2014;Transportation and storage;Top, upper,  middle management;8 444  ;6 782 ;8 667  ;#WERT!
Lake Geneva;2014;Hotels and restaurants;Top, upper,  middle management;6 568  ;5 777 ;6 667  ;#WERT!
Lake Geneva;2014;Information and communication;Top, upper,  middle management;11 631  ;9 424 ;11 917  ;#WERT!
Lake Geneva;2014;Financial and insurance services;Top, upper,  middle management;16 890  ;14 219  ;17 677  ;3 458
Lake Geneva;2014;Professional, scientific and technical services;Top, upper,  middle management;11 942  ;10 313 ;12 302  ;#WERT!
Lake Geneva;2014;Other business services;Top, upper,  middle management;8 440  ;7 865 ;8 471 ;#WERT!
Lake Geneva;2014;Health and social work;Top, upper,  middle management;9 341  ;8 767  ;10 165  ;1 398
Lake Geneva;2014;Arts, entertainment and recreation;Top, upper,  middle management;8 241 ;8 616 ;7 698 ;#WERT!
Lake Geneva;2014;Other service activities Other service activities;Top, upper,  middle management;9 317  ;7 669 ;10 096  ;#WERT!
Lake Geneva;2014;TOTAL;Lower management;8 456  ;7 936  ;8 744  ; 808
Lake Geneva;2014;SECTOR 2 PRODUCTION;Lower management;8 132  ;7 833  ;8 164  ; 331
Lake Geneva;2014;Mining and quarrying;Lower management;*  ;*  ;*  ;#WERT!
Lake Geneva;2014;Manufacturing/production of Goods;Lower management;8 742  ;8 521  ;8 807  ; 286
Lake Geneva;2014;"Water supply; sewage and waste disposal";Lower management;*  ;*  ;*  ;#WERT!
Lake Geneva;2014;Construction ;Lower management;7 016  ;6 399 ;7 036  ;#WERT!
Lake Geneva;2014;SECTOR 3 SERVICES ;Lower management;8 559  ;7 954  ;9 107  ;1 153
